,Date,Signal,Open,High,Low,Close,Adj Close
323,2017-03-13,14.959622868,135.649994,136.789993,135.649994,136.279999,129.673752
324,2017-03-14,16.4421696192,135.75,135.830002,134.559998,135.630005,129.055313
325,2017-03-15,15.111611712,136.289993,138.020004,135.970001,137.729996,131.053513
326,2017-03-16,15.9089740992,138.220001,138.509995,137.559998,137.910004,131.224762
327,2017-03-17,14.841499938,138.139999,138.729996,137.309998,138.460007,131.748154
328,2017-03-20,15.697370376,138.279999,138.520004,137.369995,137.860001,131.177185
329,2017-03-21,14.6306517,138.509995,138.600006,133.919998,133.970001,127.475754
330,2017-03-22,19.02931644,133.710007,134.309998,132.779999,134.0,127.504295
331,2017-03-23,15.705048126,134.0,135.699997,133.639999,134.779999,128.24649
332,2017-03-24,15.1319395884,134.949997,135.470001,133.860001,134.490005,128.33905
333,2017-03-27,16.0322409864,132.759995,135.070007,132.399994,134.740005,158.577637
334,2017-03-28,16.2153691452,134.279999,135.899994,134.139999,135.789993,129.579605
335,2017-03-29,15.265496064,135.699997,136.490005,135.300003,136.229996,129.999481
336,2017-03-30,16.025476656,136.320007,137.380005,136.259995,137.259995,130.982361
337,2017-03-31,15.6900136464,137.419998,138.169998,136.940002,137.479996,131.192307
338,2017-04-03,15.0597437688,137.970001,138.100006,135.600006,136.029999,129.80864
339,2017-04-04,15.673821552,135.929993,136.550003,135.350006,135.869995,129.65596
340,2017-04-05,15.2419297296,136.830002,137.429993,134.080002,134.330002,128.186386
341,2017-04-06,15.990194016,134.539993,135.630005,133.830002,135.580002,129.379242
342,2017-04-07,14.8451238144,135.210007,136.029999,134.75,135.520004,129.32196
343,2017-04-10,15.6187655856,135.470001,136.850006,135.160004,135.820007,129.608246
344,2017-04-11,16.266908448,135.270004,136.919998,135.080002,136.899994,130.63884
345,2017-04-12,15.0308605056,136.639999,136.699997,134.919998,135.039993,128.863922
346,2017-04-13,16.171534704,134.880005,135.369995,133.660004,133.720001,127.604294
347,2017-04-17,14.960275176,134.070007,135.320007,133.679993,135.289993,129.102448
348,2017-04-18,16.497771192,134.720001,135.460007,134.160004,135.320007,129.131104
349,2017-04-19,16.703371062,135.690002,136.960007,135.539993,135.789993,129.579605
350,2017-04-20,16.06256652,136.339996,137.669998,136.149994,137.520004,131.230484
351,2017-04-21,16.4679192576,137.240005,137.550003,136.710007,137.210007,130.934692
352,2017-04-24,16.4632425984,139.080002,139.339996,138.490005,138.919998,132.566437
353,2017-04-25,16.720203402,140.240005,140.880005,140.089996,140.270004,133.854721
354,2017-04-26,16.175768928,140.169998,141.820007,140.130005,140.990005,134.541824
355,2017-04-27,16.2529983216,141.339996,141.800003,140.479996,140.949997,134.503616
356,2017-04-28,15.9941946024,141.029999,141.169998,139.039993,139.059998,132.700027
357,2017-05-01,15.81407232,139.639999,140.289993,138.779999,139.860001,133.46344
358,2017-05-02,15.438509136,139.979996,140.339996,138.690002,139.149994,132.785934
359,2017-05-03,15.057095832,138.490005,138.759995,137.690002,138.289993,131.965302
360,2017-05-04,16.0011333024,138.529999,138.729996,137.110001,138.100006,131.783936
361,2017-05-05,15.781768596,138.690002,138.990005,137.529999,138.990005,132.63324
362,2017-05-08,15.3552036348,138.660004,138.979996,137.759995,138.410004,132.079788
363,2017-05-09,16.3763741856,138.589996,138.830002,137.779999,138.350006,132.022552
364,2017-05-10,15.07559199,138.039993,139.479996,137.860001,139.210007,132.84317
365,2017-05-11,16.1922616056,138.669998,138.830002,136.979996,138.240005,131.917557
366,2017-05-12,16.064355216,137.710007,137.889999,137.160004,137.509995,131.220947
367,2017-05-15,15.8126545296,137.979996,139.25,137.979996,138.580002,132.242035
368,2017-05-16,16.35588864,138.970001,139.039993,137.619995,138.630005,132.289719
369,2017-05-17,15.68238648,136.330002,137.039993,134.75,134.889999,128.720795
370,2017-05-18,15.8912552004,134.570007,135.899994,134.229996,135.380005,129.188354
371,2017-05-19,16.3739920032,135.639999,136.759995,135.419998,136.029999,129.80864
372,2017-05-22,15.2818941,136.259995,137.199997,136.160004,136.949997,130.686554
373,2017-05-23,16.0649439408,137.289993,137.690002,136.350006,137.399994,131.115967
374,2017-05-24,15.1574909016,137.509995,138.029999,136.830002,137.490005,131.201859
375,2017-05-25,15.1419374172,138.139999,138.610001,137.199997,137.580002,131.28775
